Id;Title;Artist;Year;Duo;Explicit;"Date Added";Styles;Languages
14408;"The Way You Make Me Feel";"Michael Jackson";1987;0;0;2011-05-31;Pop,Funk;English
59297;Reste;Gims;2019;1;0;2020-01-23;"French pop,Pop,Duet";English,French
5670;"It's Five O'Clock Somewhere";"Alan Jackson";2003;0;0;2011-09-02;Country;English
6973;"Bette Davis Eyes";"Kim Carnes";1981;0;0;2011-10-04;80s;English
6521;"People Are Strange";"The Doors";1967;0;0;2011-05-30;Rock;English
54906;"Ain't No Rest for the Wicked";"Cage The Elephant";2008;0;0;2018-01-24;Alternative,Rock;English
12433;"My Humps";"Black Eyed Peas";2005;0;0;2011-05-31;R&B,Rap;English
14157;"My Baby Just Cares For Me";"Nina Simone";1955;0;0;2008-05-06;Jazz,Oldies;English
14626;Moondance;"Van Morrison";1970;0;0;2013-01-03;Jazz;English
49333;"Prince Ali (version française)";"Aladdin (1992 film)";1992;0;0;2016-04-25;"TV & movie soundtrack";French
12232;"Je danse le mia";IAM;1993;0;0;2017-04-28;Rap,R&B,Funk;French
43260;Treasure;"Bruno Mars";2012;0;0;2013-04-26;Funk,Pop,Soul;English
9762;"Happy Together";"The Turtles";1967;0;0;2007-06-15;Folk,Rock,Pop;English
9695;3AM;"Matchbox Twenty";1996;0;0;2012-03-15;Pop,Rock;English
14206;"One Way Or Another";Blondie;1979;0;0;2011-05-31;Rock;English
59203;"ABBA Medley 2017";"De Toppers";2017;0;0;2019-09-30;Pop;English
7544;"Baby, It's Cold Outside";"Dean Martin";2006;1;0;2011-08-22;Christmas,Duet,Oldies,Jazz;English
11963;Popular;"Wicked (musical)";2003;0;0;2008-05-05;Musical;English
60260;"A Couple More Years";"Dr. Hook & The Medicine Show";1976;0;0;2020-01-30;Country;English
21289;"California Blue";"Roy Orbison";1989;0;0;2012-10-03;"Soft rock,Pop";English
8694;"Boom, Boom, Boom, Boom!!";Vengaboys;1999;0;0;2017-07-04;Dance,Electro,Pop;English
23869;"La ballade Nord-Irlandaise";Renaud;1991;0;0;2013-01-22;"French pop,Celtic";French
52435;"Castle on the Hill";"Ed Sheeran";2017;0;0;2017-02-14;Pop,Rock;English
6182;"Release Me";"Engelbert Humperdinck";1966;0;0;2011-05-31;Pop;English
53674;Chocolat;Lartiste;2016;1;0;2017-08-10;"French pop,Duet";French
7996;"Wherever You Will Go";"The Calling";2001;0;0;2007-06-18;Rock,Pop;English
46013;"Gold Dust Woman";"Fleetwood Mac";1977;0;0;2016-06-04;Rock;English
12974;Something;"The Beatles";1969;0;0;2011-11-03;"Soft rock,Pop";English
59561;"Dans un autre monde";"Frozen 2";2019;0;0;2019-12-16;"TV & movie soundtrack,Pop";French
54296;"Ignition (Remix)";"R. Kelly";2002;0;0;2017-11-10;R&B;English
10093;"Take My Breath Away";"Top Gun";1986;0;0;2011-05-31;"TV & movie soundtrack,80s,Love";English
9001;"I Just Want To Dance With You";"George Strait";1998;0;0;2011-05-30;Country;English
6352;"I Can't Fight This Feeling Anymore";"REO Speedwagon";1984;0;0;2011-05-31;Love,Pop;English
7009;"A Whiter Shade of Pale";"Procol Harum";1967;0;0;2011-05-30;Rock,Love;English
56540;"Maybe It's Time";"A Star is Born";2018;0;0;2018-10-30;"TV & movie soundtrack,Country,Folk";English
10836;Waterfalls;TLC;1994;0;0;2011-05-31;R&B;English
16048;Mercy;Duffy;2008;0;0;2008-04-25;Soul,Pop;English
10359;"Last Dance";"Donna Summer";1978;0;0;2011-05-31;Disco,Pop;English
15308;"Kiss An Angel Good Mornin'";"Charley Pride";1971;0;0;2015-05-20;Country,Folk;English
60312;July;"Noah Cyrus";2019;0;0;2020-01-28;Pop,Folk;English
21645;"White Christmas";"Bing Crosby";1942;0;0;2011-05-31;Christmas,Oldies;English
58231;Rumor;"Lee Brice";2018;0;0;2019-06-13;Country;English
15089;"Blanket On The Ground";"Billie Jo Spears";1975;0;0;2013-02-27;Country;English
7582;Cruisin';"Huey Lewis & The News";2000;1;0;2011-05-30;"Duet,TV & movie soundtrack,Soul,Pop,Soft rock";English
42344;Pokémon;Cartoons;1997;0;0;2013-01-18;"TV & movie soundtrack,Kids";English
59082;"Dive Bar";"Garth Brooks";2019;1;0;2019-09-12;Country,Pop,Duet;English
21304;"Isn't She Lovely";"Stevie Wonder";1976;0;0;2012-05-07;Soul,Funk;English
8623;"Last Kiss";"Pearl Jam";1999;0;0;2011-05-31;Pop,Rock;English
16566;"Close My Eyes Forever";"Lita Ford";1988;1;0;2016-08-05;Love,Hard/Metal,Duet;English
5187;"Crazy in Love";Beyoncé;2003;1;0;2007-06-12;Pop,R&B,Rap,Duet;English
19052;"She's Got You";"Patsy Cline";1962;0;0;2013-02-27;"Soft rock,Country";English
43126;"Can't Hold Us";"Macklemore & Ryan Lewis";2011;0;1;2013-04-16;Rap,Alternative;English
11232;Memory;"Barbra Streisand";1989;0;0;2007-07-19;Pop;English
11628;Hélène;"Roch Voisine";1989;0;0;2016-11-23;"French pop,Love";French
5130;"Foule sentimentale";"Alain Souchon";1993;0;0;2011-05-31;"French pop";French
